_id,_full_text,ID_UEV,CIVIQUE_DEBUT,CIVIQUE_FIN,NOM_RUE,SUITE_DEBUT,MUNICIPALITE,ETAGE_HORS_SOL,NOMBRE_LOGEMENT,ANNEE_CONSTRUCTION,CODE_UTILISATION,LETTRE_DEBUT,LETTRE_FIN,LIBELLE_UTILISATION,CATEGORIE_UEF,MATRICULE83,SUPERFICIE_TERRAIN,SUPERFICIE_BATIMENT,NO_ARROND_ILE_CUM
21914,-000':22 '-0000':23 '-1990':20 '-2':21 '-29':19 '01034133':1 '1000':15 '1926':14 '1955':25 '2150':2 '2160':3 '3':12 '38':13 '50':11 '882':24 '9943':18 'avenu':4 'du':5 'est':9 'logement':16 'mont':7 'mont-roy':6 'mtl':10 'rem21':26 'royal':8 'régulier':17,1034133,2150,2160,avenue du Mont-Royal Est  ,,50,3,38,1926,1000,,,Logement,Régulier,9943-29-1990-2-000-0000,882,1955,Arrondissement du Plateau-Mont-Royal (Montréal)
22284,"-000':20 '-0000':21 '-1':19 '-3387':18 '-73':17 '01025593':1 '1000':13 '1944':12 '3':10 '30':11 '436':22 '50':9 '5289':2,3 '666':23 '9743':16 'hubert':7 'logement':14 'mtl':8 'rem21':24 'rue':4 'régulier':15 'saint':6 'saint-hubert':5",1025593,5289,5289,rue Saint-Hubert  ,,50,3,30,1944,1000,,,Logement,Régulier,9743-73-3387-1-000-0000,436,666,Arrondissement du Plateau-Mont-Royal (Montréal)
22340,-000':26 '-0000':27 '-0504':24 '-4':25 '-40':23 '03066888':1 '1000':19 '1274':28 '1955':18 '21':17 '2644':29 '3':16 '50':15 '6400':2 '6412':3 '9337':22 'chemin':4 'csl':11 'côte':8 'côte-saint-luc':7 'de':5 'hms':12 'la':6 'logement':20 'luc':10 'mtl':13 'mto':14 'rem34':30 'régulier':21 'saint':9,3066888,6400,6412,chemin de la Côte-Saint-Luc  ,,50,3,21,1955,1000,,,Logement,Régulier,9337-40-0504-4-000-0000,1274,2644,Arrondissement de Côte-des-Neiges - Notre-Dame-de-Grâce (Montréal)
22513,"-0':17 '-000':18 '-0000':19 '-0782':16 '-71':15 '01025107':1 '1000':11 '1963':10 '279':20 '3':8 '31':9 '50':7 '5255':2,3 '631':21 '9743':14 'logement':12 'mtl':6 'rem21':22 'rivard':5 'rue':4 'régulier':13",1025107,5255,5255,rue Rivard  ,,50,3,31,1963,1000,,,Logement,Régulier,9743-71-0782-0-000-0000,279,631,Arrondissement du Plateau-Mont-Royal (Montréal)
22584,-000':19 '-0000':20 '-1':18 '-37':16 '-5239':17 '01028452':1 '1000':12 '1027':21 '1911':11 '2012':22 '26':10 '3':9 '50':8 '5944':2 '5956':3 '9642':15 'avenu':4 'du':5 'logement':13 'mtl':7 'parc':6 'rem21':23 'régulier':14,1028452,5944,5956,avenue du Parc  ,,50,3,26,1911,1000,,,Logement,Régulier,9642-37-5239-1-000-0000,1027,2012,Arrondissement du Plateau-Mont-Royal (Montréal)
22585,-0':18 '-000':19 '-0000':20 '-37':16 '-7823':17 '01028454':1 '1000':12 '1027':21 '1911':11 '2009':22 '24':10 '3':9 '50':8 '5926':2 '5938':3 '9642':15 'avenu':4 'du':5 'logement':13 'mtl':7 'parc':6 'rem21':23 'régulier':14,1028454,5926,5938,avenue du Parc  ,,50,3,24,1911,1000,,,Logement,Régulier,9642-37-7823-0-000-0000,1027,2009,Arrondissement du Plateau-Mont-Royal (Montréal)
22624,-000':20 '-0000':21 '-18':17 '-2038':18 '-6':19 '01024950':1 '1000':13 '1910':12 '21':11 '291':22 '3':10 '4719':2 '4723':3 '50':9 '626':23 '9842':16 'deni':7 'logement':14 'mtl':8 'rem21':24 'rue':4 'régulier':15 'saint':6 'saint-deni':5,1024950,4719,4723,rue Saint-Denis  ,,50,3,21,1910,1000,,,Logement,Régulier,9842-18-2038-6-000-0000,291,626,Arrondissement du Plateau-Mont-Royal (Montréal)
23065,-000':20 '-0000':21 '-2642':18 '-4':19 '-86':17 '01117581':1 '1000':13 '30':11 '4101':2 '4111':3 '50':10 '835':22 '9737':16 '9999':12 'antoin':7 'logement':14 'mtl':9 'ouest':8 'rem20':23 'rue':4 'régulier':15 'saint':6 'saint-antoin':5,1117581,4101,4111,rue Saint-Antoine Ouest  ,,50,,30,9999,1000,,,Logement,Régulier,9737-86-2642-4-000-0000,835,,Arrondissement du Sud-Ouest (Montréal)
23124,"-000':21 '-0000':22 '-1224':19 '-63':18 '-7':20 '0041':17 '01091246':1 '1000':14 '1987':13 '26':12 '3':11 '480':2,3 '50':10 '500':23 '901':24 'antoin':7 'est':8 'logement':15 'mtl':9 'rem19':25 'rue':4 'régulier':16 'saint':6 'saint-antoin':5",1091246,480,480,rue Saint-Antoine Est  ,,50,3,26,1987,1000,,,Logement,Régulier,0041-63-1224-7-000-0000,500,901,Arrondissement de Ville-Marie (Montréal)
23175,"-000':20 '-0000':21 '-3':19 '-3224':18 '-75':17 '03106419':1 '1000':13 '1048':22 '1397':23 '1969':12 '24':11 '3':10 '50':9 '8370':2,3 '9445':16 'avenu':4 'christoph':6 'christophe-colomb':5 'colomb':7 'logement':14 'mtl':8 'rem25':24 'régulier':15",3106419,8370,8370,avenue Christophe-Colomb  ,,50,3,24,1969,1000,,,Logement,Régulier,9445-75-3224-3-000-0000,1048,1397,Arrondissement de Villeray - Saint-Michel - Parc-Extension (Montréal)
